player_name,total_aura_score,mean_aura_score,xT_per_action,opp_bypassed,total_actions,matches,position,aura_per_match
Rodrigo Hernández Cascante,0.50448,0.00388,0.00214,0.24615,130,2,Left Center Midfield,0.25224
Hugo Lloris,0.72379,0.00479,-0.00045,0.6755,151,3,Goalkeeper,0.24126
Gonzalo Ariel Montiel,0.47861,0.00584,0.02246,0.06098,82,2,Right Wing Back,0.2393
Ibrahima Konaté,0.46281,0.0034,0.00067,0.24265,136,2,Left Center Back,0.2314
Manuel Locatelli,0.41328,0.00599,0.00211,0.21739,69,2,Right Center Midfield,0.20664
Federico Bernardeschi,0.38516,0.00688,0.00307,0.33929,56,2,Left Wing,0.19258
Kingsley Coman,0.37466,0.00506,0.0119,0.32432,74,2,Right Wing,0.18733
Andrea Belotti,0.5124,0.00649,0.00473,0.26582,79,3,Center Forward,0.1708
Thiago Alcântara do Nascimento,0.33256,0.00475,-0.00255,0.54286,70,2,Right Center Midfield,0.16628
Lisandro Martínez,0.31232,0.00272,0.00045,0.6087,115,2,Left Center Back,0.15616
Mathias Jensen,0.29135,0.00583,-0.0001,0.22,50,2,Left Center Midfield,0.14568
Marcus Rashford,0.38106,0.00476,0.0018,0.2375,80,3,Left Wing,0.12702
Germán Alejandro Pezzella,0.25065,0.00313,0.00103,0.275,80,2,Right Center Back,0.12532
Paulo Bruno Exequiel Dybala,0.24268,0.00426,0.01504,0.42105,57,2,Left Center Forward,0.12134
Badr Banoun,0.22164,0.00321,0.00052,0.08696,69,2,Center Back,0.11082
Romain Saïss,0.13644,0.00204,-0.00022,0.40299,67,2,Left Center Back,0.06822
