player_name,aura_score,xT_per_action,opp_bypassed,total_actions,matches,position
Nicolás Alejandro Tagliafico,0.00166,4e-05,0.3451,255,3,Left Wing Back
Jules Koundé,0.00166,0.00013,0.27822,381,3,Right Back
Bilal El Khannous,0.00165,4e-05,0.32143,84,1,Right Center Midfield
Germán Alejandro Pezzella,0.00164,0.00059,0.275,80,2,Right Center Back
Raphael Dias Belloli,0.00164,0.00014,0.17978,89,1,Right Midfield
Thomas Meunier,0.00163,4e-05,0.62245,98,1,Right Wing Back
Giovanni Di Lorenzo,0.00163,0.00123,0.36219,439,3,Right Back
Christian Fassnacht,0.00162,-1e-05,0.42593,54,1,Right Wing
Paulo Bruno Exequiel Dybala,0.00162,0.01395,0.42105,57,2,Left Center Forward
Nahuel Molina Lucero,0.00161,0.00194,0.37879,330,3,Right Wing Back
João Pedro Cavaco Cancelo,0.0016,-4e-05,0.74545,110,1,Left Back
Rodrigo Javier De Paul,0.00159,0.00085,0.33066,499,3,Right Center Midfield
Selim Amallah,0.00159,0.00027,0.21719,221,3,Left Center Midfield
Remo Freuler,0.00158,0.00019,0.49474,95,1,Left Center Midfield
Ricardo Iván Rodríguez Araya,0.00157,0.00048,0.83333,108,1,Left Back
Cristian Gabriel Romero,0.00156,2e-05,0.46193,394,3,Right Center Back
Pau Francisco Torres,0.00156,0.00098,0.31136,440,2,Left Center Back
Josip Juranović,0.00155,0.0007,0.29429,350,2,Right Back
Declan Rice,0.00155,6e-05,0.27107,605,4,Left Defensive Midfield
Marco Verratti,0.00155,0.00019,0.30152,723,3,Left Center Midfield
Jordi Alba Ramos,0.00155,0.00064,0.38779,557,2,Left Back
Pierre-Emile Højbjerg,0.00155,0.00017,0.36883,385,2,Right Defensive Midfield
Joško Gvardiol,0.00154,0.00025,0.29676,556,3,Left Center Back
Teun Koopmeiners,0.00153,0.00814,0.47059,102,1,Right Defensive Midfield
Ilias Chair,0.00153,0.0001,0.13462,52,1,Right Wing
John Stones,0.00152,0.00033,0.24519,832,4,Right Center Back
Oleksandr Karavaev,0.00151,0.00042,0.10494,162,1,Right Wing Back
Raphaël Adelino José Guerreiro,0.00151,0.0005,0.23188,69,1,Left Back
Enzo Fernandez,0.00151,0.00062,0.34846,683,3,Center Defensive Midfield
Andreas Christensen,0.00149,3e-05,0.48205,195,2,Right Center Back
Josip Stanišić,0.00145,0.00039,0.2549,102,1,Right Back
Ibrahima Konaté,0.00145,0.00019,0.24265,136,2,Left Center Back
Christian Nørgaard,0.00144,0.00023,0.22759,145,2,Right Attacking Midfield
Bernardo Mota Veiga de Carvalho e Silva,0.00142,0.00057,0.29213,267,1,Right Center Midfield
Raphaël Varane,0.00142,0.00023,0.36387,393,3,Right Center Back
Dayotchanculle Upamecano,0.00142,2e-05,0.46713,289,2,Left Center Back
Vitalii Mykolenko,0.00141,3e-05,0.11053,190,1,Left Wing Back
Jan Bořil,0.00141,0.00177,0.63158,133,1,Left Back
Jan Vertonghen,0.00141,1e-05,0.30114,176,1,Left Center Back
Jakub Brabec,0.00141,2e-05,0.23529,51,1,Right Center Back
Marcelo Brozović,0.0014,0.00033,0.24512,461,2,Center Defensive Midfield
Borna Sosa,0.00139,0.0001,0.35922,206,2,Left Back
Jorge Luiz Frello Filho,0.00138,7e-05,0.307,671,3,Center Defensive Midfield
Kalvin Phillips,0.00138,0.00016,0.22323,551,3,Right Defensive Midfield
Mateo Kovačić,0.00138,0.00048,0.33926,731,3,Left Center Midfield
Abdelhamid Sabiri,0.00137,1e-05,0.24528,53,1,Left Center Midfield
Eduardo Camavinga,0.00137,0.00021,0.29412,68,1,Left Back
Otávio Edmilson da Silva Monteiro,0.00137,0.00128,0.46795,156,1,Left Center Midfield
Jawad El Yamiq,0.00137,0.00019,0.26178,382,3,Right Center Back
Exequiel Alejandro Palacios,0.00135,3e-05,0.34,50,1,Right Center Midfield
Alisson Ramsés Becker,0.00134,-0.0,0.11765,51,1,Goalkeeper
Aurélien Djani Tchouaméni,0.00133,0.00236,0.39821,447,3,Right Defensive Midfield
Dejan Lovren,0.00133,0.00031,0.27901,405,2,Right Center Back
Badr Banoun,0.00131,1e-05,0.08696,69,2,Center Back
Virgil van Dijk,0.00131,0.00332,0.32636,239,1,Center Back
Luka Modrić,0.0013,0.00155,0.48168,764,3,Right Center Midfield
Kyle Walker,0.0013,6e-05,0.29204,678,4,Right Back
Kléper Laveran Lima Ferreira,0.00128,0.00058,0.26022,269,1,Right Center Back
Danilo Luiz da Silva,0.00126,0.00011,0.29876,241,1,Left Back
Evgeny Makarenko,0.00125,0.0004,0.31944,72,1,Center Defensive Midfield
Giorgio Chiellini,0.00125,4e-05,0.27256,543,3,Left Center Back
Axel Witsel,0.00124,9e-05,0.13281,128,1,Left Defensive Midfield
Josip Šutalo,0.00124,1e-05,0.22472,178,1,Right Center Back
Leandro Daniel Paredes,0.00124,0.00585,0.42491,273,3,Right Center Midfield
Nathan Aké,0.00124,5e-05,0.39894,188,1,Left Center Back
Vitor Machado Ferreira,0.00124,0.0002,0.43564,101,1,Right Defensive Midfield
Daley Blind,0.00123,0.0,0.18519,81,1,Left Wing Back
Tomáš Kalas,0.00122,5e-05,0.56098,123,1,Left Center Back
Rúben Santos Gato Alves Dias,0.00122,2e-05,0.18376,234,1,Left Center Back
Sofyan Amrabat,0.0012,0.00012,0.5,432,3,Center Defensive Midfield
Lisandro Martínez,0.00119,6e-05,0.6087,115,2,Left Center Back
Mykola Matvienko,0.00119,3e-05,0.46758,293,1,Left Center Back
Mykola Shaparenko,0.00118,9e-05,0.22275,211,1,Right Center Midfield
Serhii Sydorchuk,0.00118,1e-05,0.20492,122,1,Center Defensive Midfield
Marcos Aoás Corrêa,0.00117,0.00326,0.22088,249,1,Right Center Back
Nicolás Hernán Otamendi,0.00117,1e-05,0.25573,524,3,Center Back
Illia Zabarnyi,0.00115,1e-05,0.20809,173,1,Right Center Back
Frenkie de Jong,0.00115,0.00012,0.25385,260,1,Left Defensive Midfield
Noussair Mazraoui,0.00111,1e-05,0.15254,59,1,Left Wing Back
Thiago Emiliano da Silva,0.00108,0.00025,0.18293,246,1,Left Center Back
Romain Saïss,0.00107,0.0,0.40299,67,2,Left Center Back
Marten de Roon,0.00106,3e-05,0.19512,82,1,Right Defensive Midfield
Aymeric Laporte,0.00104,0.00011,0.42375,741,2,Right Center Back
Jurriën David Norman Timber,0.00104,4e-05,0.22267,247,1,Right Center Back
Rúben Diogo Da Silva Neves,0.00103,6e-05,0.33146,178,1,Center Defensive Midfield
Serhiy Kryvtsov,0.00095,0.0,0.16364,55,1,Center Back
Eric García Martret,0.00089,0.0001,0.21937,351,1,Right Center Back
