player,aura_score,actions,matches,position,team
Ángel Fabián Di María Hernández,0.9747,123,2,Left Wing,Argentina
Randal Kolo Muani,0.9721,118,2,Right Wing,France
Ricardo Jorge Luz Horta,0.9694,33,1,Right Wing,Portugal
Julián Álvarez,0.9667,298,3,Center Forward,Argentina
Sofiane Boufal,0.9666,263,3,Left Wing,Morocco
Andrea Belotti,0.964,79,3,Left Wing,Italy
Mason Mount,0.9606,418,4,Right Center Midfield,England
Jonas Older Wind,0.9606,23,1,Center Forward,Denmark
Marko Livaja,0.959,83,2,Center Forward,Croatia
Daniel Wass,0.9587,131,2,Right Wing Back,Denmark
Emerson Palmieri dos Santos,0.958,302,3,Left Back,Italy
Joakim Mæhle,0.9569,223,2,Left Wing Back,Denmark
Marcus Thuram,0.954,155,2,Left Wing,France
Yassine Bounou,0.9534,184,3,Goalkeeper,Morocco
Gonzalo Ariel Montiel,0.9527,82,2,Right Back,Argentina
Manuel Locatelli,0.9507,69,2,Left Center Midfield,Italy
Domenico Berardi,0.9468,176,3,Center Forward,Italy
Ferrán Torres García,0.9458,233,2,Left Wing,Spain
Harry Kane,0.9443,511,4,Center Forward,England
Yussuf Yurary Poulsen,0.9428,155,2,Left Center Forward,Denmark
Raheem Sterling,0.9427,443,4,Right Wing,England
Kylian Mbappé Lottin,0.9422,342,3,Left Wing,France
Bruno Petković,0.9392,155,3,Center Forward,Croatia
Gerard Moreno Balaguero,0.9362,195,2,Right Wing,Spain
Kasper Dolberg,0.9286,127,2,Center Forward,Denmark
Antony Matheus dos Santos,0.9279,122,1,Right Midfield,Brazil
Mikel Oyarzabal Ugarte,0.9251,185,2,Right Wing,Spain
Martin Braithwaite Christensen,0.9232,266,2,Right Wing,Denmark
Rodrygo Silva de Goes,0.92,123,1,Left Midfield,Brazil
Noa Lang,0.917,11,1,Left Midfield,Netherlands
Alex Sandro Lobo Silva,0.9152,16,1,Left Back,Brazil
Anass Zaroury,0.9145,36,1,Left Wing,Morocco
Marcus Rashford,0.9094,80,3,Left Wing,England
Dominik Livaković,0.906,199,3,Goalkeeper,Croatia
Mislav Oršić,0.9011,168,3,Left Wing,Croatia
Ciro Immobile,0.8991,267,3,Center Forward,Italy
Cristiano Ronaldo dos Santos Aveiro,0.8964,38,1,Center Forward,Portugal
Philip Foden,0.895,141,2,Left Wing,England
Kieran Trippier,0.8947,168,3,Right Wing Back,England
Bukayo Saka,0.89,309,3,Right Wing,England
Nacer Chadli,0.8849,7,1,Right Wing Back,Belgium
Pedro Guilherme Abreu dos Santos,0.8835,47,1,Center Forward,Brazil
Kingsley Coman,0.8828,74,2,Right Midfield,France
Tomáš Vaclík,0.8739,52,1,Goalkeeper,Czech Republic
Gianluigi Donnarumma,0.8699,240,3,Goalkeeper,Italy
Rafael Alexandre Conceição Leão,0.868,38,1,Left Wing,Portugal
Jeremy Doku,0.8615,106,1,Left Attacking Midfield,Belgium
Heorhii Bushchan,0.8586,38,1,Goalkeeper,Ukraine
Federico Chiesa,0.8474,312,3,Right Wing,Italy
Kasper Schmeichel,0.8426,132,2,Goalkeeper,Denmark
Matteo Pessina,0.8386,43,1,Left Center Midfield,Italy
Jack Grealish,0.8313,110,3,Left Center Midfield,England
Vinícius José Paixão de Oliveira Júnior,0.8225,73,1,Left Midfield,Brazil
Michael Krmenčík,0.8207,49,1,Right Wing,Czech Republic
Breel-Donald Embolo,0.8168,14,1,Right Wing,Switzerland
Richarlison de Andrade,0.8082,81,1,Center Forward,Brazil
Thibaut Courtois,0.8071,70,1,Goalkeeper,Belgium
Kevin Mbabu,0.7906,14,1,Right Back,Switzerland
Dries Mertens,0.7892,18,1,Right Defensive Midfield,Belgium
Zakaria Aboukhlal,0.7785,36,2,Left Wing,Morocco
Abderrazak Hamdallah,0.7703,23,1,Center Forward,Morocco
Romelu Lukaku Menama,0.7517,73,1,Center Forward,Belgium
Yahya Jabrane,0.7302,6,1,Right Defensive Midfield,Morocco
Abdessamad Ezzalzouli,0.6487,13,1,Left Midfield,Morocco
Frederico Rodrigues Santos,0.6082,16,1,Right Defensive Midfield,Brazil
Ante Budimir,0.5423,4,1,Left Center Forward,Croatia
